[HIGH] SEVERITY: HIGH | ZONE: GENERAL | MESSAGE: Excessive rainfall detected | TIME: 2026-04-21 23:24:33
[CRITICAL] SEVERITY: CRITICAL | ZONE: East Zone | MESSAGE: Seismic activity detected | TIME: 2026-04-21 23:24:33
[MODERATE] SEVERITY: MODERATE | ZONE: North Zone | MESSAGE: High temperature | TIME: 2026-04-21 23:24:33
[HIGH] SEVERITY: HIGH | ZONE: South Zone | MESSAGE: Possible flood risk | TIME: 2026-04-21 23:24:33
[HIGH] SEVERITY: HIGH | ZONE: GENERAL | MESSAGE: Excessive rainfall detected | TIME: 2026-04-21 23:25:17
[CRITICAL] SEVERITY: CRITICAL | ZONE: East Zone | MESSAGE: Seismic activity detected | TIME: 2026-04-21 23:25:17
[MODERATE] SEVERITY: MODERATE | ZONE: North Zone | MESSAGE: High temperature | TIME: 2026-04-21 23:25:17
[HIGH] SEVERITY: HIGH | ZONE: South Zone | MESSAGE: Possible flood risk | TIME: 2026-04-21 23:25:17
[HIGH] SEVERITY: HIGH | ZONE: GENERAL | MESSAGE: Excessive rainfall detected | TIME: 2026-04-21 23:51:17
[CRITICAL] SEVERITY: CRITICAL | ZONE: East Zone | MESSAGE: Seismic activity detected | TIME: 2026-04-21 23:51:17
[MODERATE] SEVERITY: MODERATE | ZONE: North Zone | MESSAGE: High temperature | TIME: 2026-04-21 23:51:17
[HIGH] SEVERITY: HIGH | ZONE: South Zone | MESSAGE: Possible flood risk | TIME: 2026-04-21 23:51:17
